id;nome;cnpj;endereco;complemento;bairro;cidade;cep;telefone_comercial;telefone_whatsapp;email;facebook;observacoes
1;Dynamic caramelo;up methodologies;exploit;bordô Mato bypass;local Naira Markets;Avenida core;context-sensitive;Aço SMTP;Alameda Supervisor;Anthony.Santos@yahoo.com;Bedfordshire;experiences
2;THX deposit;wireless Jibuti Alameda;reboot regional Toalhas;Rodovia Global indexing;Bola reboot;Rondônia;user-centric Marginal;Synergistic Frango;optical;Mrcia_Souza32@bol.com.br;SQL connect;Real
3;Visionary wireless;Borders utilize;best-of-breed;experiences ADP;Nuevo Congelado withdrawal;salmão;Liaison jade intermediate;Director Reverse-engineered Feito;innovate Manager;Pedro_Macedo@gmail.com;payment Paulo;global deliver European
4;Casa Berkshire;channels Optimization Plástico;Quiribati ouro;Marginal haptic disintermediate;orchestrate interface;Global;Bedfordshire;overriding back-end;Malvinas;Bryan_Braga72@bol.com.br;local;Account Sergipe Secured
5;JBOD Bicicleta Jardim;Avenida program Macio;Algodão transition Avenida;Congelado;Travessa;Congelado invoice Botsuana;Metal compressing;Manager;invoice Money neural;Mrcia46@hotmail.com;Operations;marca
6;matrix turquesa content;bluetooth;core;empower Phased Tactics;EXE communities integrate;Congelado Lead;parse Congelado Sabonete;Impressionante Intuitive Euro;SDR;Fabiano.Saraiva99@yahoo.com;Marketing National;index interface microchip
7;Planner Usability;Casa Lustroso Eslovênia;Assimilated;bluetooth Account Bedfordshire;system-worthy invoice;International;coral Chief;SDD Cambridgeshire infrastructures;generating Rua;Helosa_Albuquerque@yahoo.com;Pizza Lustroso;generating knowledge
8;Savings Luvas Coordinator;Sharable;feed Senior Rústico;jade 24/7 Mesa;Directives bypassing circuit;hardware Program communities;Macio;algorithm Aço Noruega;cobre;Gabriel_Braga@yahoo.com;interactive;Rodovia multi-byte back-end
9;Aço GB;copy alarm;ADP;Luvas Andorra withdrawal;hack;holistic Total;Accounts Avon;Esportes Frango backing;action-items Jordanian;Lucca72@yahoo.com;Sharable Buckinghamshire Intranet;de Future Serbian
10;Industrial;Luvas;Sergipe cohesive Bacon;Mobility Aço navigating;SSL;Jogos Impressionante;preto;payment;Accounts Networked ubiquitous;MariaHelena_Martins73@live.com;transmitter;Cross-platform
